name,dex_num,date,shiny,costume,event,form,location,Lat,type_1,type_2,box,size,evolved,traded,hatched,research,Shadow,remote raid,Has IRL loc
beedrill,15,06/20/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Bug,Poison,,,TRUE,FALSE,FALSE,,,,
beedrill,15,06/20/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Bug,Poison,,,TRUE,FALSE,FALSE,,,,
beedrill,15,06/20/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Bug,Poison,,,TRUE,FALSE,FALSE,,,,
kakuna,14,06/20/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Bug,Poison,,,TRUE,FALSE,FALSE,,,,
kakuna,14,06/20/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Bug,Poison,,,TRUE,FALSE,FALSE,,,,
kakuna,14,06/20/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Bug,Poison,,,TRUE,FALSE,FALSE,,,,
nidorina,30,06/21/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Poison,,,,TRUE,FALSE,FALSE,,,,
venomoth,49,06/30/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Bug,Poison,,,TRUE,FALSE,FALSE,,,,
scizor,212,06/30/2020,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Bug,Steel,,,TRUE,FALSE,FALSE,,,,
lapras,131,07/12/2020,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Water,Ice,,,FALSE,FALSE,FALSE,,TRUE,,
grimer,88,07/12/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Poison,,,,FALSE,FALSE,FALSE,,TRUE,,
murkrow,198,07/13/2020,TRUE,,n/a,,"Norwalk, CT","41.11774399999999,-73.4081575",Dark,Flying,,,FALSE,FALSE,FALSE,,,,
lapras,131,07/14/2020,TRUE,,n/a,,"New Canaan, CT","41.146763,-73.4948445",Water,Ice,,,FALSE,FALSE,FALSE,,TRUE,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"Norwalk, CT","41.11774399999999,-73.4081575",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
gastly,92,07/19/2020,TRUE,,Community Day,,"New Canaan, CT","41.146763,-73.4948445",Ghost,Poison,,,FALSE,FALSE,FALSE,,,,
